Src	Eqid	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
nc	71962355	1	"Friday, March 29, 2013 01:36:49 UTC"	38.79	-122.76	1.6	1.8	27	Northern California
nc	71962360	0	"Friday, March 29, 2013 01:36:25 UTC"	35.72	-121.09	1.2	6.6	7	Central California
nc	71962345	0	"Friday, March 29, 2013 01:25:51 UTC"	37.47	-118.84	1.1	7.3	9	Central California
nc	71962340	1	"Friday, March 29, 2013 01:24:16 UTC"	35.72	-121.1	2.4	7.6	29	Central California
nc	71962335	8	"Friday, March 29, 2013 01:22:39 UTC"	35.72	-121.11	3.6	7	106	Central California
ci	11274722	0	"Friday, March 29, 2013 00:58:11 UTC"	33.06	-116.06	1.6	15.2	22	Southern California
ak	10683430	1	"Friday, March 29, 2013 00:47:54 UTC"	61.65	-149.68	1.5	39.2	5	Southern Alaska
ci	11274714	0	"Friday, March 29, 2013 00:47:24 UTC"	34.26	-117.01	1.4	6.3	11	Southern California
ak	10683320	1	"Friday, March 29, 2013 00:19:55 UTC"	63.54	-147.95	2.2	2.7	31	Central Alaska
nn	407770	1	"Thursday, March 28, 2013 23:49:46 UTC"	38.29	-118.4	1.4	9.1	10	Nevada
us	b000fvan	5	"Thursday, March 28, 2013 23:42:38 UTC"	-6.05	129.28	4.8	226.5	23	Banda Sea
us	b000fvak	6	"Thursday, March 28, 2013 23:41:02 UTC"	14.1	-92.08	4.2	74.1	35	offshore Guatemala
ci	11274690	2	"Thursday, March 28, 2013 23:21:52 UTC"	33.7	-116.74	1	18.2	26	Southern California
ak	10683290	1	"Thursday, March 28, 2013 23:08:47 UTC"	65	-147.44	1.2	4.3	6	northern Alaska
ak	10683286	1	"Thursday, March 28, 2013 22:52:49 UTC"	63.54	-151.47	1.5	3.3	8	Central Alaska
ak	10683278	1	"Thursday, March 28, 2013 22:46:15 UTC"	60.59	-152.74	2.2	13.9	11	Southern Alaska
ak	10683266	1	"Thursday, March 28, 2013 22:23:47 UTC"	63.07	-149.13	2.1	65.5	37	Central Alaska
ak	10683256	1	"Thursday, March 28, 2013 22:11:01 UTC"	60.91	-146.89	1.8	23.2	13	Southern Alaska
ci	11274658	4	"Thursday, March 28, 2013 22:09:30 UTC"	32.6	-116.97	1.6	0	20	"San Diego County urban area, California"
nc	71962310	1	"Thursday, March 28, 2013 21:43:30 UTC"	38.82	-122.8	1	3.3	27	Northern California
ak	10683221	1	"Thursday, March 28, 2013 21:12:32 UTC"	62.1	-145.16	1.8	6.8	16	Central Alaska
ak	10683215	1	"Thursday, March 28, 2013 21:07:27 UTC"	63.53	-147.63	1.6	0	18	Central Alaska
pr	13087002	0	"Thursday, March 28, 2013 20:56:16 UTC"	18.34	-65.9	3	119	25	Puerto Rico
ak	10683204	1	"Thursday, March 28, 2013 20:50:37 UTC"	63.94	-149.07	1.3	0	12	Central Alaska
uw	60512712	1	"Thursday, March 28, 2013 20:40:10 UTC"	46.65	-120.49	2	0	23	Washington
ak	10683198	1	"Thursday, March 28, 2013 20:34:22 UTC"	63.41	-151.31	1.6	7.3	7	Central Alaska
nc	71962255	2	"Thursday, March 28, 2013 20:33:07 UTC"	40.4	-124.58	1.8	21	15	offshore Northern California
ci	11274570	2	"Thursday, March 28, 2013 20:28:44 UTC"	35.8	-117.53	1.5	0	17	Central California
ci	11274578	2	"Thursday, March 28, 2013 20:26:16 UTC"	36.07	-117.87	1	2.2	10	Central California
nn	407712	1	"Thursday, March 28, 2013 20:10:28 UTC"	38.66	-117.14	1.7	0	6	Nevada
nc	71962250	0	"Thursday, March 28, 2013 20:06:32 UTC"	36.9	-121.6	1.7	0	9	Northern California
ak	10683187	1	"Thursday, March 28, 2013 20:03:12 UTC"	64.07	-148.27	1.4	1.8	7	Central Alaska
ci	11274546	2	"Thursday, March 28, 2013 19:36:34 UTC"	34.71	-116.29	2.1	3.3	35	Southern California
ci	11274538	2	"Thursday, March 28, 2013 19:34:02 UTC"	32.88	-116.25	1.4	8.6	11	Southern California
nn	407700	1	"Thursday, March 28, 2013 19:26:37 UTC"	38.26	-118.64	1	0	10	Nevada
nc	71962230	0	"Thursday, March 28, 2013 19:14:38 UTC"	37.5	-122.4	1.8	1.6	10	"San Francisco Bay area, California"
uw	60513581	1	"Thursday, March 28, 2013 19:05:29 UTC"	48.28	-124.85	1	0	14	offshore Washington
ci	11274506	4	"Thursday, March 28, 2013 19:05:03 UTC"	34.85	-118.8	1.1	0	6	Central California
ak	10683154	1	"Thursday, March 28, 2013 18:52:40 UTC"	63.23	-147.09	1.2	4.9	9	Central Alaska
uu	60017307	2	"Thursday, March 28, 2013 18:39:48 UTC"	41.42	-110.66	1.8	3	12	Wyoming
ci	11274498	2	"Thursday, March 28, 2013 18:31:38 UTC"	35.56	-116.94	1.3	0.2	17	Southern California
ci	11274490	1	"Thursday, March 28, 2013 18:25:53 UTC"	36.07	-117.88	1.2	2	21	Central California
nc	71962215	0	"Thursday, March 28, 2013 18:23:38 UTC"	38.85	-122.76	1	1.4	7	Northern California
ak	10682976	1	"Thursday, March 28, 2013 18:16:43 UTC"	61.71	-151.16	2	81.5	12	Southern Alaska
ak	10682970	1	"Thursday, March 28, 2013 18:08:39 UTC"	63.53	-147.63	1.5	0.1	15	Central Alaska
nc	71962205	2	"Thursday, March 28, 2013 18:05:31 UTC"	36.3	-120.82	1.4	7.8	19	Central California
nc	71962200	4	"Thursday, March 28, 2013 18:03:34 UTC"	39.53	-120.62	1.8	12.5	31	Northern California
nn	407687	1	"Thursday, March 28, 2013 17:49:18 UTC"	37.12	-116.93	1.5	4.5	19	Nevada
ci	11274466	2	"Thursday, March 28, 2013 17:40:49 UTC"	36.45	-117.6	1.1	0.1	16	Central California
ci	11274450	1	"Thursday, March 28, 2013 17:32:08 UTC"	33.41	-116.43	1.2	14.5	22	Southern California
uu	60017292	2	"Thursday, March 28, 2013 17:19:49 UTC"	44.65	-110.47	1.3	6.6	13	"Yellowstone National Park, Wyoming"
ak	10682917	1	"Thursday, March 28, 2013 17:04:24 UTC"	64.01	-148.89	1.9	0.1	18	Central Alaska
us	b000furm	7	"Thursday, March 28, 2013 16:47:36 UTC"	52.75	-169.44	2.5	4.8	0	"Fox Islands, Aleutian Islands, Alaska"
nc	71962165	0	"Thursday, March 28, 2013 16:28:50 UTC"	36.8	-120.9	1.6	0	16	Central California
us	b000fun3	7	"Thursday, March 28, 2013 16:13:41 UTC"	42.32	18.84	4.1	9.1	39	Montenegro
pr	13087001	0	"Thursday, March 28, 2013 15:48:02 UTC"	19.42	-65.28	3.2	89	7	Puerto Rico region
ci	11274386	1	"Thursday, March 28, 2013 15:38:10 UTC"	33.49	-116.42	1.1	8.6	30	Southern California
uw	60513501	2	"Thursday, March 28, 2013 15:29:26 UTC"	46.27	-121.62	1.1	1.7	25	Washington
ci	11274378	1	"Thursday, March 28, 2013 15:26:29 UTC"	36.43	-116.93	1.8	10.9	17	Central California
ak	10682874	1	"Thursday, March 28, 2013 15:13:04 UTC"	63.59	-147.61	1.5	2.4	17	Central Alaska
uu	60017272	2	"Thursday, March 28, 2013 15:10:14 UTC"	39.44	-111.23	1.6	2.4	13	Utah
ak	10682869	1	"Thursday, March 28, 2013 14:38:13 UTC"	62.05	-151.66	1.8	63	12	Central Alaska
ak	10682865	1	"Thursday, March 28, 2013 14:26:01 UTC"	61.43	-148.03	1.2	15.3	8	Southern Alaska
ci	11274354	1	"Thursday, March 28, 2013 13:07:44 UTC"	36	-117.58	1.3	5.9	18	Central California
nc	71962080	8	"Thursday, March 28, 2013 12:44:48 UTC"	40.37	-124.41	2.5	16.5	25	offshore Northern California
us	b000fuik	5	"Thursday, March 28, 2013 12:42:30 UTC"	-49.91	127.33	4.7	10	20	western Indian-Antarctic Ridge
ci	11274338	2	"Thursday, March 28, 2013 12:27:32 UTC"	33.5	-116.47	1.6	9.6	36	Southern California
nn	407659	1	"Thursday, March 28, 2013 12:25:34 UTC"	37.32	-114.98	2.6	9.2	4	Nevada
ak	10682835	1	"Thursday, March 28, 2013 12:21:24 UTC"	59.85	-151.72	1.9	50.8	9	"Kenai Peninsula, Alaska"
ak	10682834	1	"Thursday, March 28, 2013 12:14:57 UTC"	62.79	-150.66	1.3	11.1	5	Central Alaska
ak	10682832	1	"Thursday, March 28, 2013 11:54:23 UTC"	59.77	-140.62	1.9	0.2	6	Southeastern Alaska
ak	10682826	1	"Thursday, March 28, 2013 11:40:44 UTC"	64.9	-147.91	1.2	11.1	11	Central Alaska
ci	11274314	2	"Thursday, March 28, 2013 11:32:35 UTC"	32.96	-117.77	1.7	6	20	"Gulf of Santa Catalina, California"
ci	11274306	2	"Thursday, March 28, 2013 11:25:26 UTC"	33.51	-116.46	1	10.5	35	Southern California
ak	10682821	1	"Thursday, March 28, 2013 11:15:07 UTC"	61.58	-150.47	1.3	42.6	5	Southern Alaska
nc	71962050	0	"Thursday, March 28, 2013 11:12:22 UTC"	38.83	-122.76	1.3	2.1	18	Northern California
nm	032813b	A	"Thursday, March 28, 2013 11:03:53 UTC"	35.51	-92.45	2	1.4	10	Arkansas
nc	71962040	1	"Thursday, March 28, 2013 10:57:16 UTC"	36.58	-121.18	2	7.2	23	Central California
ak	10682814	1	"Thursday, March 28, 2013 10:49:08 UTC"	63.36	-151.34	1.1	4.8	6	Central Alaska
nn	407655	1	"Thursday, March 28, 2013 10:42:09 UTC"	37.99	-118.47	1.2	8.3	15	Nevada
ak	10682809	1	"Thursday, March 28, 2013 10:39:55 UTC"	60.8	-146.3	1.7	23.6	17	Southern Alaska
us	b000fugx	4	"Thursday, March 28, 2013 10:26:44 UTC"	37.28	96.98	4.3	10	17	"northern Qinghai, China"
nn	407654	1	"Thursday, March 28, 2013 10:22:44 UTC"	36.87	-115.12	1.4	14.3	6	Nevada
se	032813c	A	"Thursday, March 28, 2013 09:54:55 UTC"	36.27	-83.5	1.3	8.6	6	eastern Tennessee
nc	71962020	1	"Thursday, March 28, 2013 09:32:10 UTC"	38.87	-122.81	1.4	1.7	26	Northern California
nc	71962015	0	"Thursday, March 28, 2013 09:30:47 UTC"	38.86	-122.81	1	1.6	10	Northern California
nc	71962010	1	"Thursday, March 28, 2013 09:24:40 UTC"	38.87	-122.81	1.5	1.9	29	Northern California
nc	71962005	0	"Thursday, March 28, 2013 09:08:25 UTC"	38.78	-122.77	1	1.8	17	Northern California
nc	71961995	0	"Thursday, March 28, 2013 09:05:18 UTC"	38.87	-122.72	1.4	2	9	Northern California
ci	11274282	2	"Thursday, March 28, 2013 08:59:43 UTC"	33.27	-116.42	1.1	7.3	33	Southern California
ak	10682786	1	"Thursday, March 28, 2013 08:51:27 UTC"	60.71	-150.36	1.7	31.7	10	"Kenai Peninsula, Alaska"
nc	71961990	0	"Thursday, March 28, 2013 08:48:22 UTC"	37.66	-118.86	1.2	5.5	15	"Long Valley area, California"
ak	10682783	2	"Thursday, March 28, 2013 08:46:44 UTC"	60.94	-150.89	1.2	15	17	"Kenai Peninsula, Alaska"
nc	71961985	1	"Thursday, March 28, 2013 08:26:17 UTC"	38.82	-122.82	2	2.6	37	Northern California
nn	407652	1	"Thursday, March 28, 2013 08:14:41 UTC"	36.61	-116.42	1	8.4	15	Nevada
nc	71961980	3	"Thursday, March 28, 2013 08:13:26 UTC"	36.59	-121.2	2.2	8.2	64	Central California
nc	71961975	1	"Thursday, March 28, 2013 08:11:58 UTC"	38.87	-122.81	1.4	1.8	21	Northern California
ak	10682764	1	"Thursday, March 28, 2013 07:54:04 UTC"	63.45	-148.31	1.1	0	10	Central Alaska
us	b000fue1	6	"Thursday, March 28, 2013 07:48:53 UTC"	-20.05	-69.11	4.6	99.9	44	"Tarapaca, Chile"
nn	407651	1	"Thursday, March 28, 2013 07:45:25 UTC"	37.3	-114.94	1.5	0	4	Nevada
nn	407650	1	"Thursday, March 28, 2013 07:38:49 UTC"	38.94	-118.73	1.4	12.9	14	Nevada
ci	11274258	2	"Thursday, March 28, 2013 07:28:23 UTC"	36.01	-117.81	1.2	1.9	15	Central California
ak	10682751	1	"Thursday, March 28, 2013 07:19:59 UTC"	61.14	-150.63	1.4	20.4	11	Southern Alaska
ak	10682750	1	"Thursday, March 28, 2013 07:16:20 UTC"	61.65	-150.21	1.3	74.1	6	Southern Alaska
ci	11274250	2	"Thursday, March 28, 2013 07:10:56 UTC"	33.23	-116.1	1.3	7.8	43	Southern California
hv	60483586	2	"Thursday, March 28, 2013 06:41:56 UTC"	19.46	-155.61	1	14.2	11	"Island of Hawaii, Hawaii"
ci	11274218	1	"Thursday, March 28, 2013 06:29:38 UTC"	33.48	-116.43	2	9.2	68	Southern California
uu	60017257	4	"Thursday, March 28, 2013 06:27:02 UTC"	38.67	-112.26	2	7.9	15	Utah
ak	10682743	1	"Thursday, March 28, 2013 06:22:31 UTC"	63.2	-150.78	1.8	129.1	11	Central Alaska
ci	11274202	1	"Thursday, March 28, 2013 06:17:22 UTC"	34.93	-118.15	2.3	7.1	62	Southern California
ci	11274154	5	"Thursday, March 28, 2013 06:03:41 UTC"	36.01	-117.81	2.6	1.7	34	Central California
ci	11274146	1	"Thursday, March 28, 2013 06:01:18 UTC"	33.49	-116.44	1.2	8.7	41	Southern California
ak	10682735	1	"Thursday, March 28, 2013 05:46:29 UTC"	63.32	-145.26	1.1	3.5	6	Central Alaska
nc	71961930	0	"Thursday, March 28, 2013 05:43:06 UTC"	36.62	-121.11	1.2	5.9	9	Central California
ci	11274138	1	"Thursday, March 28, 2013 05:32:53 UTC"	35.83	-117.65	1.3	9.4	20	Central California
nc	71961910	0	"Thursday, March 28, 2013 05:18:54 UTC"	37.38	-118.55	1.2	7.5	9	Central California
nc	71961905	0	"Thursday, March 28, 2013 05:16:28 UTC"	38.75	-122.71	1.2	2.6	14	Northern California
ak	10682714	2	"Thursday, March 28, 2013 05:07:03 UTC"	59.65	-152.28	3.3	80.4	63	Southern Alaska
nc	71961890	0	"Thursday, March 28, 2013 05:06:02 UTC"	38.75	-122.71	1.4	2.2	17	Northern California
nc	71961885	3	"Thursday, March 28, 2013 05:04:36 UTC"	38.75	-122.71	2.5	2	76	Northern California
ci	11274122	1	"Thursday, March 28, 2013 04:35:54 UTC"	33.49	-116.45	1.3	11.1	38	Southern California
ak	10682699	1	"Thursday, March 28, 2013 04:33:57 UTC"	63.2	-149.39	1.4	84.3	13	Central Alaska
us	b000fubp	6	"Thursday, March 28, 2013 04:25:35 UTC"	-28.46	-175.46	4.9	34.5	29	Kermadec Islands region
nm	032813a	A	"Thursday, March 28, 2013 04:24:55 UTC"	36.65	-89.59	1.5	6.1	12	southeastern Missouri
ak	10682691	1	"Thursday, March 28, 2013 04:21:20 UTC"	60.47	-151.6	2.2	69.2	28	"Kenai Peninsula, Alaska"
nc	71961865	1	"Thursday, March 28, 2013 04:18:43 UTC"	38.8	-122.81	1.1	3.1	22	Northern California
ak	10682685	1	"Thursday, March 28, 2013 04:17:05 UTC"	61.56	-149.87	1	29.5	6	Southern Alaska
ak	10682682	2	"Thursday, March 28, 2013 04:03:27 UTC"	55.5	-135.43	3.5	20	25	off the coast of Southeastern Alaska
hv	60483466	4	"Thursday, March 28, 2013 03:58:30 UTC"	19.15	-155.43	1.6	34.6	13	"Island of Hawaii, Hawaii"
pr	13087000	0	"Thursday, March 28, 2013 03:50:10 UTC"	18.13	-67.91	2.9	119	11	"Mona Passage, Puerto Rico"
us	b000fub3	6	"Thursday, March 28, 2013 03:34:29 UTC"	-23.59	-175.5	5	43.9	82	Tonga region
ak	10682672	1	"Thursday, March 28, 2013 03:33:27 UTC"	60.72	-147.9	1.9	0	19	Southern Alaska
ci	11274106	1	"Thursday, March 28, 2013 03:32:43 UTC"	33.49	-116.43	2.3	8.3	70	Southern California
ak	10682668	1	"Thursday, March 28, 2013 03:29:57 UTC"	61.08	-146.26	1.2	20.5	11	Southern Alaska
nc	71961855	0	"Thursday, March 28, 2013 03:29:09 UTC"	38.8	-122.81	1.1	2.2	20	Northern California
se	032813d	A	"Thursday, March 28, 2013 03:16:51 UTC"	32.94	-80.15	1.4	5.6	4	South Carolina
ak	10682658	1	"Thursday, March 28, 2013 02:55:58 UTC"	65.83	-149.04	1.2	10	4	northern Alaska
us	b000fuau	8	"Thursday, March 28, 2013 02:53:04 UTC"	13.96	-91.89	4.9	42.2	68	offshore Guatemala
nn	407628	1	"Thursday, March 28, 2013 02:45:43 UTC"	37.28	-114.95	1.9	0	3	Nevada
ak	10682654	1	"Thursday, March 28, 2013 02:35:23 UTC"	62.83	-150.32	1.2	33.7	10	Central Alaska
ak	10682650	1	"Thursday, March 28, 2013 02:27:41 UTC"	63.48	-147.87	1	15.4	8	Central Alaska
ci	11274082	3	"Thursday, March 28, 2013 02:26:46 UTC"	34.01	-117.18	1	15.2	33	"Greater Los Angeles area, California"
nn	407625	1	"Thursday, March 28, 2013 02:24:16 UTC"	37.99	-118.47	1.5	8.1	20	Nevada
ci	11274066	2	"Thursday, March 28, 2013 01:43:16 UTC"	35.47	-118.28	1.2	5.2	12	Central California
nn	407622	1	"Thursday, March 28, 2013 01:40:32 UTC"	36.38	-116.07	1.1	11.9	17	Nevada
ci	11274042	1	"Thursday, March 28, 2013 00:35:58 UTC"	33.49	-116.43	1.2	9	40	Southern California
ak	10682554	1	"Thursday, March 28, 2013 00:27:22 UTC"	59.99	-151.69	2.2	0.2	7	"Kenai Peninsula, Alaska"
ak	10682642	1	"Thursday, March 28, 2013 00:23:44 UTC"	61.09	-143.27	1.7	0.1	6	Southern Alaska
ak	10682488	1	"Thursday, March 28, 2013 00:23:27 UTC"	61.12	-145.8	1.5	29.3	5	Southern Alaska
ak	10682555	1	"Thursday, March 28, 2013 00:07:34 UTC"	63.13	-143.24	2.1	0	7	Central Alaska
uu	60017247	4	"Wednesday, March 27, 2013 23:56:48 UTC"	39.15	-111.65	1.5	18.7	16	Utah
ci	11274034	2	"Wednesday, March 27, 2013 23:56:47 UTC"	34.88	-116.69	1.4	4.4	11	Southern California
ak	10682484	2	"Wednesday, March 27, 2013 23:55:45 UTC"	60.3	-150.51	1.2	15.5	24	"Kenai Peninsula, Alaska"
ci	11274018	2	"Wednesday, March 27, 2013 23:26:49 UTC"	35.05	-117.68	1.4	0	11	Southern California
ak	10682444	2	"Wednesday, March 27, 2013 23:25:07 UTC"	63.92	-148.95	2.7	0	40	Central Alaska
ci	11274010	1	"Wednesday, March 27, 2013 23:24:06 UTC"	33.5	-116.43	1.1	8.5	33	Southern California
ci	11274002	2	"Wednesday, March 27, 2013 23:13:10 UTC"	33.15	-116.54	1.1	15.2	26	Southern California
ak	10682424	2	"Wednesday, March 27, 2013 23:06:48 UTC"	64.98	-147.42	1.2	0	17	Central Alaska
nn	407598	1	"Wednesday, March 27, 2013 23:02:55 UTC"	40.6	-119.63	1.5	14.3	5	Nevada
ci	11273994	C	"Wednesday, March 27, 2013 22:56:25 UTC"	34.09	-119.24	2.8	3.7	26	"Channel Islands region, California"
pr	13086003	0	"Wednesday, March 27, 2013 22:54:31 UTC"	19.04	-65.12	2.8	30	8	Virgin Islands region
ak	10682407	2	"Wednesday, March 27, 2013 22:39:23 UTC"	60.71	-147.36	1.5	2.4	25	Southern Alaska
ak	10682394	2	"Wednesday, March 27, 2013 22:20:45 UTC"	60.76	-147.94	1.7	15.1	25	Southern Alaska
nc	71961750	0	"Wednesday, March 27, 2013 22:16:44 UTC"	37.37	-122.18	1.7	4.2	16	"San Francisco Bay area, California"
nc	71961740	0	"Wednesday, March 27, 2013 22:13:10 UTC"	38.81	-122.81	1	2.1	16	Northern California
nc	71961745	3	"Wednesday, March 27, 2013 22:12:31 UTC"	38.77	-122.48	1.3	13.2	5	Northern California
ci	11273970	1	"Wednesday, March 27, 2013 22:07:05 UTC"	33.48	-116.42	1.1	8.9	33	Southern California
us	b000fuc7	4	"Wednesday, March 27, 2013 21:56:03 UTC"	35.73	-97.22	2.4	4.7	15	Oklahoma
ak	10682380	2	"Wednesday, March 27, 2013 21:51:51 UTC"	61.74	-148.41	1.2	8.5	26	Southern Alaska
ak	10683387	2	"Wednesday, March 27, 2013 21:46:50 UTC"	62.9	-149.56	1	69.7	23	Central Alaska
nc	71961715	0	"Wednesday, March 27, 2013 21:26:27 UTC"	38.79	-122.74	1.1	1.8	18	Northern California
nc	71961710	0	"Wednesday, March 27, 2013 21:24:32 UTC"	36.95	-121.59	1.2	4	11	Northern California
nc	71961705	0	"Wednesday, March 27, 2013 21:23:12 UTC"	38.74	-122.71	1	2.6	13	Northern California
ak	10682372	2	"Wednesday, March 27, 2013 21:22:45 UTC"	61.79	-150.7	1.6	66.9	37	Southern Alaska
ci	11273954	2	"Wednesday, March 27, 2013 21:18:09 UTC"	37.01	-117.49	1.2	4.4	9	Central California
uw	60513256	2	"Wednesday, March 27, 2013 21:10:33 UTC"	49.35	-120.45	2.4	0	11	"British Columbia, Canada"
nc	71961695	2	"Wednesday, March 27, 2013 21:09:17 UTC"	37.32	-122.09	1.7	0	19	"San Francisco Bay area, California"
ak	10682363	2	"Wednesday, March 27, 2013 20:57:50 UTC"	61.41	-146.6	1	34.3	21	Southern Alaska
ak	10682360	2	"Wednesday, March 27, 2013 20:47:21 UTC"	62.69	-151.97	1.2	11.3	21	Central Alaska
ak	10682357	2	"Wednesday, March 27, 2013 20:42:25 UTC"	61.22	-146.68	1	23.4	16	Southern Alaska
ci	11273922	2	"Wednesday, March 27, 2013 20:34:55 UTC"	33.49	-116.43	1.4	9.5	43	Southern California
